"file","ssim","ms_ssim","psnr","vif_p","vsi","fsim","gmsd","ms_gmsd","haarpsi","mdsi","mad"
"2007_002824_SimBA_(0.3, 500).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002824_SimBA_(3, 100).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002824_SimBA_(3, 500).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002824_SimBA_(30, 100).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002824_SimBA_(30, 500).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002852_SimBA-DCT_(0.3, 100).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002852_SimBA-DCT_(0.3, 500).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002852_SimBA-DCT_(3, 100).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002852_SimBA-DCT_(3, 500).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002852_SimBA-DCT_(30, 100).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
"2007_002852_SimBA-DCT_(30, 500).png","1.0000","1.0000","80.0000","1.0000","1.0000","1.0000","0.0000","0.0000","1.0000","0.0000","0.0000"
